trial	outcome	detail
1	HIT_SLOT0	10.99.0.20:7772
2	HIT_SLOT0	10.99.0.20:7772
3	HIT_SLOT0	10.99.0.20:7772
4	HIT_SLOT0	10.99.0.20:7772
5	HIT_SLOT0	10.99.0.20:7772
6	HIT_SLOT0	10.99.0.20:7772
7	HIT_SLOT0	10.99.0.20:7772
8	HIT_SLOT0	10.99.0.20:7772
9	HIT_SLOT0	10.99.0.20:7772
10	HIT_SLOT0	10.99.0.20:7772
11	HIT_SLOT0	10.99.0.20:7772
12	HIT_SLOT0	10.99.0.20:7772
13	HIT_SLOT0	10.99.0.20:7772
14	HIT_SLOT0	10.99.0.20:7772
15	HIT_SLOT0	10.99.0.20:7772
16	HIT_SLOT0	10.99.0.20:7772
17	HIT_SLOT0	10.99.0.20:7772
18	HIT_SLOT0	10.99.0.20:7772
19	HIT_SLOT0	10.99.0.20:7772
20	HIT_SLOT0	10.99.0.20:7772
21	HIT_SLOT0	10.99.0.20:7772
22	HIT_SLOT0	10.99.0.20:7772
23	HIT_SLOT0	10.99.0.20:7772
24	HIT_SLOT0	10.99.0.20:7772
25	HIT_SLOT0	10.99.0.20:7772
26	HIT_SLOT0	10.99.0.20:7772
27	HIT_SLOT0	10.99.0.20:7772
28	HIT_SLOT0	10.99.0.20:7772
29	HIT_SLOT0	10.99.0.20:7772
30	HIT_SLOT0	10.99.0.20:7772
