trial	outcome	detail
1	MISS	dial_events=2
2	MISS	dial_events=2
3	MISS	dial_events=2
4	MISS	dial_events=2
5	MISS	dial_events=2
6	MISS	dial_events=2
7	MISS	dial_events=2
8	MISS	dial_events=2
9	MISS	dial_events=2
10	MISS	dial_events=2
11	MISS	dial_events=2
12	MISS	dial_events=2
13	MISS	dial_events=2
14	MISS	dial_events=2
15	MISS	dial_events=2
16	MISS	dial_events=2
17	MISS	dial_events=2
18	MISS	dial_events=2
19	MISS	dial_events=2
20	MISS	dial_events=2
21	MISS	dial_events=2
22	MISS	dial_events=2
23	MISS	dial_events=2
24	MISS	dial_events=2
25	MISS	dial_events=2
26	MISS	dial_events=2
27	MISS	dial_events=2
28	MISS	dial_events=2
29	MISS	dial_events=2
30	MISS	dial_events=2
